ID,Name,areaNo,gridXNo,gridZNo,posX,posZ,picX,picY
352,,60,42,38,-48,98.46,1132.421875,1729.571777
356,,60,43,38,-86,32,1765.771484,1922.65625
357,,60,44,36,-22,-72,2695.458984,3712.304688
358,,60,44,37,-52,-76,2608.300781,2980.175781
360,,60,44,39,-72,44,2550.195313,1144.042969
362,,60,45,37,86,4,3752.978516,2747.753906
364,,60,45,38,-86,81,3253.271484,1780.297852
365,,60,44,39,19.462,44,2815.917432,1144.042969
500,,60,42,36,26,-4,1347.412109,3514.746094
502,,60,42,38,-54,21,1114.990234,1954.614258
503,,60,43,36,88,-29,2271.289063,3587.37793
504,,60,43,36,-75,88,1797.729492,3247.460938
505,,60,43,37,17,-58,2065.014648,2927.880859
506,,60,43,38,-84,-62,1771.582031,2195.751953
507,,60,44,37,-53,64,2605.395508,2573.4375
509,,60,44,39,-34,-22,2660.595703,1335.791016
510,,60,43,37,36.38,41.32,2121.318848,2639.329102
511,,60,45,39,82,18,3741.357422,1219.580078
512,,60,45,36,-88,96,3247.460938,3224.21875
513,,60,45,37,-90.47,96.33,3240.284912,2479.51001
514,,60,44,36,48.9,91.35,2901.442871,3237.728271
515,,60,45,37,-30.53,53.87,3414.427002,2602.86792
516,,60,43,38,-26.54,35.82,1938.519043,1911.558105
517,,60,43,39,88.99,96.707,2274.165283,990.9147217
518,,60,42,39,-54.12,61.66,1114.641602,1092.73584
519,,60,44,37,-53,64,2605.395508,2573.4375
520,,60,42,36,26,-4,1347.412109,3514.746094
521,,60,42,38,-54,21,1114.990234,1954.614258
522,,60,43,36,88,-29,2271.289063,3587.37793
523,,60,43,36,-75,88,1797.729492,3247.460938
524,,60,43,37,17,-58,2065.014648,2927.880859
525,,60,43,38,-84,-62,1771.582031,2195.751953
526,,60,44,37,-53,64,2605.395508,2573.4375
527,,60,44,39,-34,-22,2660.595703,1335.791016
528,,60,45,39,82,18,3741.357422,1219.580078
529,,60,45,36,-88,96,3247.460938,3224.21875
530,,60,45,37,-90.47,96.33,3240.284912,2479.51001
531,,60,44,36,48.9,91.35,2901.442871,3237.728271
532,,60,45,37,-30.53,53.87,3414.427002,2602.86792
533,,60,43,38,-26.54,35.82,1938.519043,1911.558105
534,,60,43,39,88.99,96.707,2274.165283,990.9147217
535,,60,44,37,-53,64,2605.395508,2573.4375
536,,60,43,37,36.38,41.32,2121.318848,2639.329102
540,,60,42,36,26,-4,1347.412109,3514.746094
541,,60,42,38,-54,21,1114.990234,1954.614258
542,,60,43,36,88,-29,2271.289063,3587.37793
543,,60,43,36,-75,88,1797.729492,3247.460938
544,,60,43,37,17,-58,2065.014648,2927.880859
545,,60,43,38,-84,-62,1771.582031,2195.751953
546,,60,44,37,-53,64,2605.395508,2573.4375
547,,60,44,39,-34,-22,2660.595703,1335.791016
548,,60,45,39,82,18,3741.357422,1219.580078
549,,60,45,36,-88,96,3247.460938,3224.21875
550,,60,45,37,-90.47,96.33,3240.284912,2479.51001
551,,60,44,36,48.9,91.35,2901.442871,3237.728271
552,,60,45,37,-30.53,53.87,3414.427002,2602.86792
553,,60,43,38,-26.54,35.82,1938.519043,1911.558105
554,,60,43,39,88.99,96.707,2274.165283,990.9147217
555,,60,44,37,-53,64,2605.395508,2573.4375
556,,60,43,37,36.38,41.32,2121.318848,2639.329102
560,,60,42,36,26,-4,1347.412109,3514.746094
561,,60,42,38,-54,21,1114.990234,1954.614258
562,,60,43,36,88,-29,2271.289063,3587.37793
563,,60,43,36,-75,88,1797.729492,3247.460938
564,,60,43,37,17,-58,2065.014648,2927.880859
565,,60,43,38,-84,-62,1771.582031,2195.751953
566,,60,44,37,-53,64,2605.395508,2573.4375
567,,60,44,39,-34,-22,2660.595703,1335.791016
568,,60,45,39,82,18,3741.357422,1219.580078
569,,60,45,36,-88,96,3247.460938,3224.21875
570,,60,45,37,-90.47,96.33,3240.284912,2479.51001
571,,60,44,36,48.9,91.35,2901.442871,3237.728271
572,,60,45,37,-30.53,53.87,3414.427002,2602.86792
573,,60,43,38,-26.54,35.82,1938.519043,1911.558105
574,,60,43,39,88.99,96.707,2274.165283,990.9147217
575,,60,44,38,2,-13,2765.185547,2053.393555
576,,60,44,37,-53,64,2605.395508,2573.4375
577,,60,43,37,36.38,41.32,2121.318848,2639.329102
580,,60,42,36,26,-4,1347.412109,3514.746094
581,,60,42,38,-54,21,1114.990234,1954.614258
582,,60,43,36,88,-29,2271.289063,3587.37793
583,,60,43,36,-75,88,1797.729492,3247.460938
584,,60,43,37,17,-58,2065.014648,2927.880859
585,,60,43,38,-84,-62,1771.582031,2195.751953
586,,60,44,37,-53,64,2605.395508,2573.4375
587,,60,44,39,-34,-22,2660.595703,1335.791016
588,,60,45,39,82,18,3741.357422,1219.580078
589,,60,45,36,-88,96,3247.460938,3224.21875
590,,60,45,37,-90.47,96.33,3240.284912,2479.51001
591,,60,44,36,48.9,91.35,2901.442871,3237.728271
592,,60,45,37,-30.53,53.87,3414.427002,2602.86792
593,,60,43,38,-26.54,35.82,1938.519043,1911.558105
594,,60,43,39,88.99,96.707,2274.165283,990.9147217
595,,60,44,37,-53,64,2605.395508,2573.4375
596,,60,43,37,36.38,41.32,2121.318848,2639.329102
601,,60,42,39,-125.4,-102.97,907.5537109,1571.031006
602,,60,43,37,-107.35,-74.35,1703.743896,2975.38208
603,,60,43,38,44.37,53.18,2144.531982,1861.122559
604,,60,43,39,99.79,82.09,2305.542236,1033.381104
605,,60,44,36,57.3,-26.55,2925.847168,3580.26001
606,,60,44,38,73.22,82.15,2972.099121,1776.956787
607,,60,45,38,61.87,-109.62,3682.874268,2334.101074
615,,60,42,36,111.35,-13.79,1595.377197,3543.188721
616,,60,42,36,-44.3,-17.62,1143.171387,3554.315918
617,,60,42,36,71.96,-115.42,1480.938477,3838.45166
618,,60,42,37,-107.05,108.15,960.8654785,2445.169678
619,,60,42,37,21.34,46.81,1333.873535,2623.37915
620,,60,42,37,-22.42,-37.87,1206.73877,2869.397705
621,,60,42,38,-64.07,-44.73,1085.734131,2145.577881
622,,60,42,38,-103,49.13,972.6318359,1872.888916
623,,60,42,38,34.33,36.93,1371.613037,1908.333252
624,,60,42,39,-49.79,78.24,1127.221436,1044.566406
625,,60,42,39,57.26,16.37,1438.230957,1224.315674
626,,60,42,39,120.27,-84.36,1621.292236,1516.963867
627,,60,43,36,1.23,72.57,2019.198486,3292.289307
628,,60,43,36,113.45,57.68,2345.228271,3335.548828
629,,60,43,36,59.18,-109.54,2187.559082,3821.368652
630,,60,43,37,119.14,-94.37,2361.759277,3033.545654
631,,60,43,37,-42.25,-7.37,1892.877197,2780.786865
632,,60,43,37,-88.09,104.64,1759.699463,2455.367188
633,,60,43,38,100.74,13.1,2308.302246,1977.565918
634,,60,43,38,54.99,-94.64,2175.385986,2290.580078
635,,60,43,38,-82.2,88.58,1776.811523,1758.275879
636,,60,43,39,-110.69,109.7,1694.040283,953.1665039
637,,60,43,39,-71.81,-50.54,1806.997314,1418.70752
638,,60,43,39,86.78,3.42,2267.744629,1261.938965
639,,60,44,36,15.38,3.6,2804.058105,3492.666016
640,,60,44,36,-57.72,88.02,2591.682617,3247.402832
641,,60,44,36,-100.89,-50.86,2466.261963,3650.887207
642,,60,44,37,-82.64,-14.15,2519.283203,2800.484619
643,,60,44,37,12.25,39.28,2794.9646,2645.255859
644,,60,44,37,87.25,103.81,3012.860107,2457.778564
645,,60,44,38,-101.01,-15.03,2465.91333,2059.29126
646,,60,44,38,-58.99,-109.43,2587.99292,2333.549072
647,,60,44,38,13.31,107.03,2798.044189,1704.673584
648,,60,44,39,-85.49,-98.42,2511.003174,1557.812012
649,,60,44,39,-70.85,3.88,2553.536377,1260.602539
650,,60,44,39,30.98,81.92,2849.380371,1033.875
651,,60,45,36,90.27,113,3765.384033,3174.829102
652,,60,45,36,-2.33,-68.37,3496.355713,3701.758545
653,,60,45,36,-106.83,40.46,3192.754639,3385.577637
654,,60,45,37,-82.28,-49.75,3264.079102,2903.912354
655,,60,45,37,-53.95,46.75,3346.385498,2623.553467
656,,60,45,37,41.95,16.53,3625.001221,2711.35083
657,,60,45,38,-45.8,99.06,3370.063477,1727.828613
658,,60,45,38,112.6,48.65,3830.258789,1874.283447
659,,60,45,38,-6.81,-101.21,3483.340088,2309.667725
660,,60,45,39,-89.46,-21.93,3243.219238,1335.587646
661,,60,45,39,1.06,-42.01,3506.20459,1393.925537
662,,60,45,39,-104.67,107.68,3199.030029,959.0351563
700,,60,42,36,57.51,75.78,1438.957275,3282.963379
701,,60,42,39,80.95,-34.22,1507.056885,1371.293457
702,,60,43,37,-46.9,-108.74,1879.367676,3075.294434
703,,60,43,38,-5.19,-17.44,2000.546631,2066.292969
704,,60,44,36,-64.96,-3.8,2570.648438,3514.165039
705,,60,44,36,100.92,-0.03,3052.575195,3503.212158
706,,60,44,37,-68.03,94.38,2561.729248,2485.175293
707,,60,44,39,-119.68,27.72,2411.671875,1191.34082
708,,60,45,39,45.09,-24.49,3634.123779,1343.025146
710,,60,42,36,56.585,71.43,1436.269897,3295.601318
711,,60,42,39,49.952,-44.263,1416.999219,1400.471118
712,,60,43,37,-50.232,-111.543,1869.687305,3083.437915
713,,60,43,38,-8.949,-23.482,1989.625708,2083.846631
714,,60,44,36,103.027,-6.618,3058.696606,3522.3521
715,,60,44,36,-65.831,-26.795,2568.117944,3580.971802
716,,60,44,37,-50.64,21.347,2612.251953,2697.356128
717,,60,44,39,-120,32.965,2410.742188,1176.102661
718,,60,45,39,44.291,-22.021,3631.802466,1335.852026
750,,60,42,36,93.28,-111.43,1542.878906,3826.859619
751,,60,42,38,-46.23,-77.53,1137.564209,2240.87085
752,,60,42,38,-112.69,82.2,944.4797363,1776.811523
753,,60,42,38,94.25,65.8,1545.697021,1824.458008
754,,60,42,39,16.55,59.36,1319.957275,1099.417969
755,,60,43,36,57,85,2080,3400
756,,60,43,37,37.57,62.69,2124.776123,2577.243408
757,,60,43,37,37.57,62.69,2290,2577.243408
758,,60,43,39,-124.81,19.15,1653.017822,1216.239014
759,,60,43,39,84.86,-167.25,2262.166504,1757.781982
760,,60,44,38,-49.54,55.63,2615.447754,1854.004639
761,,60,44,39,79.16,50.83,2989.356445,1124.199951
762,,60,45,36,-102.93,-46.38,3204.085205,3637.871582
763,,60,45,37,22.18,117.69,3567.563965,2417.453369
800,,60,42,36,26,-4,1347.412109,3514.746094
801,,60,42,38,-54,21,1114.990234,1954.614258
802,,60,43,36,88,-29,2271.289063,3587.37793
803,,60,43,36,-75,88,1797.729492,3247.460938
804,,60,43,37,17,-58,2065.014648,2927.880859
805,,60,43,38,-84,-62,1771.582031,2195.751953
806,,60,44,37,-53,64,2605.395508,2573.4375
807,,60,44,39,-34,-22,2660.595703,1335.791016
808,,60,45,39,82,18,3741.357422,1219.580078
809,,60,45,36,-88,96,3247.460938,3224.21875
810,,60,45,37,-90.47,96.33,3240.284912,2479.51001
811,,60,44,36,48.9,91.35,2901.442871,3237.728271
812,,60,45,37,-30.53,53.87,3414.427002,2602.86792
813,,60,43,38,-26.54,35.82,1938.519043,1911.558105
814,,60,43,39,88.99,96.707,2274.165283,990.9147217
815,,60,42,39,-54.12,61.66,1114.641602,1092.73584
816,,60,44,37,-53,64,2605.395508,2573.4375
817,,60,43,37,36.38,41.32,2121.318848,2639.329102
1103,,60,43,39,-131.633,-47.034,1633.195142,1408.521631
1107,,60,43,36,86.74,-17.49,2267.628418,3553.938232
1108,,60,45,38,37.46,-91.41,3611.956543,2000.196045
1109,,60,42,37,10.25,8.67,1301.654053,2734.186279
1110,,60,45,36,-74.25,81.39,3287.408447,3266.664795
1111,,60,45,36,-48.031,90.524,3363.581812,3500
1112,,60,45,36,-47.89,90.45,3363.991455,3350
1113,,60,45,36,-47.89,90.45,3363.991455,3200
1114,,60,42,38,18.006,-21.273,1100,2100
1115,,60,42,38,18.14,-21.36,1100,1950
1116,,60,42,38,17.518,-21.204,1100,1800
1130,,60,43,36,-94.91,121.09,1739.885498,3151.325439
1131,,60,43,38,76.51,-30.38,2237.907471,2103.887207
1132,,60,44,37,55.69,35.04,2921.169678,2657.574219
1133,,60,44,39,0,-115,2759.375,1605.981445
1135,,60,44,36,0,0,3050,3100
1136,,60,44,37,0,0,2759.375,2759.375
1137,,60,45,37,0,0,3503.125,2759.375
1138,,60,44,36,0,0,2900,3250
1139,,60,44,37,0,0,2759.375,2759.375
1140,,60,45,37,0,0,3503.125,2759.375
1141,,60,42,38,106.06,82.51,1700,1550
1142,,60,42,39,71.68,-69.37,1480.125,1473.413818
1143,,60,43,38,-60.51,87.67,1839.826904,1760.919678
1144,,60,43,39,-105.33,-91.64,1709.612549,1538.114258
1145,,60,42,39,71.68,-69.37,1700,1800
1146,,60,43,38,-60.51,87.67,1839.826904,1760.919678
1147,,60,43,39,-105.33,-91.64,1709.612549,1538.114258
1148,,60,42,39,71.68,-69.37,1480.125,1473.413818
1150,,60,43,36,-84,-30,1771.582031,3590.283203
1151,,60,43,37,-96,94,1736.71875,2486.279297
1152,,60,44,37,52,97.36,2910.449219,2476.517578
1153,,60,45,37,28,10,3584.472656,2730.322266
1155,,60,42,37,63.72,104.47,1456.999023,2455.861084
1156,,60,43,37,-68.35,-31.99,1817.049561,2852.314697
1157,,60,43,38,71.02,107.58,2221.95752,1703.075684
1158,,60,44,38,11.61,-107.4,2793.105225,2327.651367
1159,,60,45,37,-77.02,-51.39,3279.36084,2908.677002
1160,,60,45,37,35.68,-87.7,3606.785156,3014.16748
1161,,60,43,37,78.17,-103.79,2242.730225,3060.91333
1162,,60,43,37,41.49,13.05,2136.164795,2721.461182
1163,,60,43,37,53.61,57.9,2171.376709,2591.159668
1164,,60,45,37,-87.28,80.97,3249.552734,2524.13501
1165,,60,42,37,-8.046,68.973,1248.49917,2558.989575
1170,,60,42,37,95.81,-55.7,1550.229248,2921.19873
1171,,60,43,36,-91.67,25.97,1749.298584,3427.675049
1172,,60,43,37,22.18,53.62,2080.063965,2603.594238
1173,,60,43,38,-29.08,37.37,1931.139648,1907.054932
1174,,60,44,36,78.02,38.36,2986.044434,3391.678711
1175,,60,45,37,-27.83,-27.25,3422.27124,2838.543701
1176,,60,45,38,-30.71,-66.39,3413.904053,2208.506104
1180,,60,43,36,-94.91,121.09,1739.885498,3151.325439
1181,,60,43,38,76.51,-30.38,2237.907471,2103.887207
1182,,60,44,37,55.69,35.04,2921.169678,2657.574219
1183,,60,44,39,0,-115,2759.375,1605.981445
1200,,60,43,36,-94.91,121.09,1739.885498,3151.325439
1201,,60,43,38,76.51,-30.38,2237.907471,2103.887207
1202,,60,44,37,55.69,35.04,2921.169678,2657.574219
1210,,60,43,38,1.77,-96.28,2020.767334,2295.344727
1211,,60,44,36,-59.33,101.45,2587.005127,3208.38501
1212,,60,44,37,-25.42,125.25,2685.522949,2395.489502
1213,,60,45,37,-67.97,10.28,3305.653564,2729.508789
2100,,60,42,37,108,50,1585.644531,2614.111328
2101,,60,42,37,45,-107,1402.612305,3070.239258
2103,,60,42,39,-30,-45,1184.716797,1402.612305
2104,,60,43,36,-29,-49,1931.37207,3645.483398
2106,,60,43,39,0,-77,2015.625,1495.581055
2107,,60,43,39,-24,111,1945.898438,949.3896484
2108,,60,44,36,-22,-72,2695.458984,3712.304688
2109,,60,44,37,75,-9,2977.270508,2785.522461
2110,,60,44,38,2,-13,2765.185547,2053.393555
2111,,60,44,38,126,-70,3125.439453,2218.994141
2112,,60,44,39,73,-64,2971.459961,1457.8125
2113,,60,45,36,-5,20,3488.598633,3445.019531
2114,,60,45,37,4,-68,3514.746094,2956.933594
2116,,60,45,38,44,97,3630.957031,1733.813477
2117,,60,45,39,-56,54,3340.429688,1114.990234
2118,,60,43,38,-128,92,1643.75,1748.339844
2119,,60,43,39,0,-77,2015.625,1495.581055
2120,,60,42,38,53,-44,1425.854492,2143.457031
2121,,60,42,37,45,-107,1402.612305,3070.239258
2122,,60,42,37,108,50,1585.644531,2614.111328
2123,,60,42,38,53,-44,1425.854492,2143.457031
2124,,60,42,38,53,-44,1425.854492,2143.457031
2125,,60,44,36,45,98,2890.112305,3218.408203
2126,,60,44,36,45,98,2890.112305,3218.408203
2127,,60,44,39,73,-64,2971.459961,1457.8125
2128,,60,45,37,4,-68,3514.746094,2956.933594
2129,,60,44,38,126,-70,3125.439453,2218.994141
2190,,60,43,37,89.7,62.66,2276.228027,2577.330566
2300,,60,42,36,-74,62,1056.884766,3322.998047
2301,,60,42,37,-66,44,1080.126953,2631.542969
2302,,60,42,38,-48,98.46,1132.421875,1729.571777
2305,,60,43,36,57,85,2181.225586,3256.176758
2306,,60,43,38,-86,32,1765.771484,1922.65625
2307,,60,44,36,45,98,2890.112305,3218.408203
2308,,60,44,37,-52,-76,2608.300781,2980.175781
2309,,60,44,37,34.33,-58.97,2859.113037,2930.698975
2310,,60,44,39,-72,44,2550.195313,1144.042969
2312,,60,45,37,86,4,3752.978516,2747.753906
2313,,60,45,38,39,-9,3616.430664,2041.772461
2314,,60,45,38,-86,81,3253.271484,1780.297852
2315,,60,44,36,99.06,12.58,3047.171387,3466.57666
2316,,60,44,37,72.97,39.88,2971.372803,2643.512695
2317,,60,44,37,-13.58,28.39,2719.921387,2676.894287
2318,,60,45,37,-40.77,-83.51,3384.677002,3001.994385
2319,,60,45,37,49.5,46.28,3646.936035,2624.918945
2320,,60,45,37,25.51,-25.69,3577.238525,2834.011475
2321,,60,45,37,-112.99,-33.61,3174.858154,2857.02124
2322,,60,45,36,53.98,92.46,3659.95166,3234.503418
2350,,60,42,36,-74,62,1056.884766,3322.998047
2351,,60,42,37,-66,44,1080.126953,2631.542969
2352,,60,42,38,-48,98.46,1132.421875,1729.571777
2356,,60,43,38,-86,32,1765.771484,1922.65625
2357,,60,44,36,-22,-72,2695.458984,3712.304688
2358,,60,44,37,-52,-76,2608.300781,2980.175781
2360,,60,44,39,-72,44,2550.195313,1144.042969
2362,,60,45,37,86,4,3752.978516,2747.753906
2364,,60,45,38,-86,81,3253.271484,1780.297852
2365,,60,44,39,19.462,44,2815.917432,1144.042969
2500,,60,42,36,26,-4,1347.412109,3514.746094
2502,,60,42,38,-54,21,1114.990234,1954.614258
2503,,60,43,36,88,-29,2271.289063,3587.37793
2504,,60,43,36,-75,88,1797.729492,3247.460938
2505,,60,43,37,17,-58,2065.014648,2927.880859
2506,,60,43,38,-84,-62,1771.582031,2195.751953
2507,,60,44,37,-53,64,2605.395508,2573.4375
2509,,60,44,39,-34,-22,2660.595703,1335.791016
2510,,60,43,37,36.38,41.32,2121.318848,2639.329102
2511,,60,45,39,82,18,3741.357422,1219.580078
2512,,60,45,36,-88,96,3247.460938,3224.21875
2513,,60,45,37,-90.47,96.33,3240.284912,2479.51001
2514,,60,44,36,48.9,91.35,2901.442871,3237.728271
2515,,60,45,37,-30.53,53.87,3414.427002,2602.86792
2516,,60,43,38,-26.54,35.82,1938.519043,1911.558105
2517,,60,43,39,88.99,96.707,2274.165283,990.9147217
2518,,60,42,39,-54.12,61.66,1114.641602,1092.73584
2519,,60,44,37,-53,64,2605.395508,2573.4375
2520,,60,42,36,26,-4,1347.412109,3514.746094
2521,,60,42,38,-54,21,1114.990234,1954.614258
2522,,60,43,36,88,-29,2271.289063,3587.37793
2523,,60,43,36,-75,88,1797.729492,3247.460938
2524,,60,43,37,17,-58,2065.014648,2927.880859
2525,,60,43,38,-84,-62,1771.582031,2195.751953
2526,,60,44,37,-53,64,2605.395508,2573.4375
2527,,60,44,39,-34,-22,2660.595703,1335.791016
2528,,60,45,39,82,18,3741.357422,1219.580078
2529,,60,45,36,-88,96,3247.460938,3224.21875
2530,,60,45,37,-90.47,96.33,3240.284912,2479.51001
2531,,60,44,36,48.9,91.35,2901.442871,3237.728271
2532,,60,45,37,-30.53,53.87,3414.427002,2602.86792
2533,,60,43,38,-26.54,35.82,1938.519043,1911.558105
2534,,60,43,39,88.99,96.707,2274.165283,990.9147217
2535,,60,44,37,-53,64,2605.395508,2573.4375
2536,,60,43,37,36.38,41.32,2121.318848,2639.329102
2540,,60,42,36,26,-4,1347.412109,3514.746094
2541,,60,42,38,-54,21,1114.990234,1954.614258
2542,,60,43,36,88,-29,2271.289063,3587.37793
2543,,60,43,36,-75,88,1797.729492,3247.460938
2544,,60,43,37,17,-58,2065.014648,2927.880859
2545,,60,43,38,-84,-62,1771.582031,2195.751953
2546,,60,44,37,-53,64,2605.395508,2573.4375
2547,,60,44,39,-34,-22,2660.595703,1335.791016
2548,,60,45,39,82,18,3741.357422,1219.580078
2549,,60,45,36,-88,96,3247.460938,3224.21875
2550,,60,45,37,-90.47,96.33,3240.284912,2479.51001
2551,,60,44,36,48.9,91.35,2901.442871,3237.728271
2552,,60,45,37,-30.53,53.87,3414.427002,2602.86792
2553,,60,43,38,-26.54,35.82,1938.519043,1911.558105
2554,,60,43,39,88.99,96.707,2274.165283,990.9147217
2555,,60,44,37,-53,64,2605.395508,2573.4375
2556,,60,43,37,36.38,41.32,2121.318848,2639.329102
2560,,60,42,36,26,-4,1347.412109,3514.746094
2561,,60,42,38,-54,21,1114.990234,1954.614258
2562,,60,43,36,88,-29,2271.289063,3587.37793
2563,,60,43,36,-75,88,1797.729492,3247.460938
2564,,60,43,37,17,-58,2065.014648,2927.880859
2565,,60,43,38,-84,-62,1771.582031,2195.751953
2566,,60,44,37,-53,64,2605.395508,2573.4375
2567,,60,44,39,-34,-22,2660.595703,1335.791016
2568,,60,45,39,82,18,3741.357422,1219.580078
2569,,60,45,36,-88,96,3247.460938,3224.21875
2570,,60,45,37,-90.47,96.33,3240.284912,2479.51001
2571,,60,44,36,48.9,91.35,2901.442871,3237.728271
2572,,60,45,37,-30.53,53.87,3414.427002,2602.86792
2573,,60,43,38,-26.54,35.82,1938.519043,1911.558105
2574,,60,43,39,88.99,96.707,2274.165283,990.9147217
2575,,60,44,38,2,-13,2765.185547,2053.393555
2576,,60,44,37,-53,64,2605.395508,2573.4375
2577,,60,43,37,36.38,41.32,2121.318848,2639.329102
2580,,60,42,36,26,-4,1347.412109,3514.746094
2581,,60,42,38,-54,21,1114.990234,1954.614258
2582,,60,43,36,88,-29,2271.289063,3587.37793
2583,,60,43,36,-75,88,1797.729492,3247.460938
2584,,60,43,37,17,-58,2065.014648,2927.880859
2585,,60,43,38,-84,-62,1771.582031,2195.751953
2586,,60,44,37,-53,64,2605.395508,2573.4375
2587,,60,44,39,-34,-22,2660.595703,1335.791016
2588,,60,45,39,82,18,3741.357422,1219.580078
2589,,60,45,36,-88,96,3247.460938,3224.21875
2590,,60,45,37,-90.47,96.33,3240.284912,2479.51001
2591,,60,44,36,48.9,91.35,2901.442871,3237.728271
2592,,60,45,37,-30.53,53.87,3414.427002,2602.86792
2593,,60,43,38,-26.54,35.82,1938.519043,1911.558105
