ID,MAP,type,is_display,,coord_index,,,,,,
66,0,46020,0,640,640,0,0,0,0,0,0
67,0,46040,0,642,642,0,0,0,0,0,0
68,0,46060,0,639,639,0,0,0,0,0,0
69,0,46060,0,656,656,0,0,0,0,0,0
70,0,46060,0,631,631,0,0,0,0,0,0
71,0,46060,0,625,625,0,0,0,0,0,0
72,0,46050,0,657,657,0,0,0,0,0,0
73,0,46020,0,649,649,0,0,0,0,0,0
74,0,46060,0,635,635,0,0,0,0,0,0
75,0,46040,0,624,624,0,0,0,0,0,0
76,0,46050,0,629,629,0,0,0,0,0,0
77,0,46050,0,626,626,0,0,0,0,0,0
78,0,46050,0,615,615,0,0,0,0,0,0
79,0,46040,0,636,636,0,0,0,0,0,0
80,0,46605,1,602,602,0,0,0,0,0,0
81,0,46503,1,604,604,0,0,0,0,0,0
82,0,46703,1,606,606,0,0,0,0,0,0
83,0,46504,1,601,601,0,0,0,0,0,0
84,0,46604,1,605,605,0,0,0,0,0,0
85,0,46701,1,607,607,0,0,0,0,0,0
86,0,46606,1,603,603,0,0,0,0,0,0
87,0,38101,1,117,117,0,0,0,0,0,0
88,0,34101,1,109,109,0,0,0,0,0,0
89,0,34103,1,113,113,0,0,0,0,0,0
90,0,34103,1,100,100,0,0,0,0,0,0
91,0,34101,1,114,114,0,0,0,0,0,0
92,0,45000,1,306,306,0,0,1,0,0,1
93,0,40006,1,310,310,0,0,1,0,0,1
94,0,43000,0,307,307,0,0,0,0,1,0
95,1,38101,1,124,124,0,0,0,0,0,0
96,1,30301,1,113,113,0,0,0,0,0,0
97,1,30000,1,106,106,0,0,0,0,0,0
98,1,38100,1,100,100,0,0,0,0,0,0
99,1,32000,1,111,111,0,0,0,0,0,0
100,1,32100,1,103,103,0,0,0,0,0,0
101,1,32200,1,307,108,0,0,0,1,0,0
102,1,34002,1,313,116,1,0,0,0,0,0
103,1,34200,1,110,110,0,0,0,0,0,0
104,1,34100,1,107,107,0,0,0,0,0,0
105,1,34100,1,104,104,0,0,0,0,0,0
106,1,45010,1,356,356,0,0,1,0,0,1
107,1,41000,1,314,314,0,0,1,0,0,1
108,1,41000,1,305,305,0,0,1,0,0,1
109,1,41000,1,310,310,0,0,1,0,0,1
110,1,45000,1,312,312,0,0,1,0,0,1
111,1,40009,1,308,308,0,0,1,0,0,1
112,1,43400,0,300,300,0,0,0,0,0,0
113,1,43501,0,313,313,0,1,0,0,0,0
114,1,46870,1,757,757,0,0,0,0,0,0
115,1,46540,1,756,756,0,0,0,0,0,0
116,1,49430,1,190,190,0,0,0,0,0,0
117,1,46680,1,763,763,0,0,0,0,0,0
118,1,46740,1,750,750,0,0,0,0,0,0
119,1,46660,1,753,753,0,0,0,0,0,0
120,1,46630,1,761,761,0,0,0,0,0,0
121,1,46590,1,762,762,0,0,0,0,0,0
122,1,46650,1,758,758,0,0,0,0,0,0
123,1,46570,1,755,755,0,0,0,0,0,0
124,1,46550,1,760,760,0,0,0,0,0,0
125,1,46710,1,754,754,0,0,0,0,0,0
126,1,46690,1,759,759,0,0,0,0,0,0
127,1,46604,1,605,605,0,0,0,0,0,0
128,1,46505,1,604,604,0,0,0,0,0,0
129,1,46503,1,606,606,0,0,0,0,0,0
130,1,46704,1,601,601,0,0,0,0,0,0
131,1,46602,1,607,607,0,0,0,0,0,0
132,1,46700,1,602,602,0,0,0,0,0,0
133,1,46605,1,603,603,0,0,0,0,0,0
134,1,49400,1,712,712,0,0,0,0,0,0
135,1,30301,1,109,109,0,0,0,0,0,0
136,1,32100,1,101,101,0,0,0,0,0,0
137,1,32000,1,114,114,0,0,0,0,0,0
138,1,32200,1,117,117,0,0,0,0,0,0
139,1,34200,1,112,112,0,0,0,0,0,0
140,1,40006,1,302,302,0,0,1,0,0,1
141,1,43400,0,307,307,0,0,0,0,1,0
142,1,43501,0,301,301,0,0,0,0,0,0
143,2,38000,1,122,122,0,0,0,0,0,0
144,2,30301,1,113,113,0,0,0,0,0,0
145,2,30001,1,117,117,0,0,0,0,0,0
146,2,38101,1,101,101,0,0,0,0,0,0
147,2,32100,1,111,111,0,0,0,0,0,0
148,2,32001,1,120,120,0,0,0,0,0,0
149,2,32101,1,104,104,0,0,0,0,0,0
150,2,34102,1,307,108,0,0,0,1,0,0
151,2,34200,1,110,110,0,0,0,0,0,0
152,2,34103,1,103,103,0,0,0,0,0,0
153,2,34200,1,313,116,1,0,0,0,0,0
154,2,43010,0,351,351,0,0,0,0,0,0
155,2,41000,1,108,307,0,0,1,0,1,1
156,2,41000,1,314,314,0,0,1,0,0,1
157,2,41000,1,310,310,0,0,1,0,0,1
158,2,45000,1,306,306,0,0,1,0,0,1
159,2,40004,1,305,305,0,0,1,0,0,1
160,2,43501,0,312,312,0,0,0,0,0,0
161,2,43401,0,308,308,0,0,0,0,0,0
162,2,46880,1,757,757,0,0,0,0,0,0
163,2,46640,1,756,756,0,0,0,0,0,0
164,2,49410,1,190,190,0,0,0,0,0,0
165,2,46580,1,754,754,0,0,0,0,0,0
166,2,46630,1,763,763,0,0,0,0,0,0
167,2,46680,1,755,755,0,0,0,0,0,0
168,2,46520,1,760,760,0,0,0,0,0,0
169,2,46770,1,759,759,0,0,0,0,0,0
170,2,46550,1,753,753,0,0,0,0,0,0
171,2,46720,1,750,750,0,0,0,0,0,0
172,2,46650,1,762,762,0,0,0,0,0,0
173,2,46710,1,761,761,0,0,0,0,0,0
174,2,46510,1,758,758,0,0,0,0,0,0
175,2,46604,1,605,605,0,0,0,0,0,0
176,2,46504,1,606,606,0,0,0,0,0,0
177,2,46606,1,604,604,0,0,0,0,0,0
178,2,46704,1,601,601,0,0,0,0,0,0
179,2,46702,1,607,607,0,0,0,0,0,0
180,2,46605,1,602,602,0,0,0,0,0,0
181,2,46502,1,603,603,0,0,0,0,0,0
182,2,30301,1,106,106,0,0,0,0,0,0
183,2,30301,1,109,109,0,0,0,0,0,0
184,2,38000,1,112,112,0,0,0,0,0,0
185,2,34103,1,107,107,0,0,0,0,0,0
186,2,34102,1,114,114,0,0,0,0,0,0
187,2,43501,0,300,300,0,0,0,0,0,0
188,2,43401,0,302,302,0,0,0,0,0,0
189,2,43501,0,313,313,0,1,0,0,0,0
190,3,38100,1,129,129,0,0,0,0,0,0
191,3,30301,1,104,104,0,0,0,0,0,0
192,3,30001,1,110,110,0,0,0,0,0,0
193,3,38000,1,114,114,0,0,0,0,0,0
194,3,32101,1,101,101,0,0,0,0,0,0
195,3,32001,1,106,106,0,0,0,0,0,0
196,3,32201,1,313,116,1,0,0,0,0,0
197,3,34000,1,120,120,0,0,0,0,0,0
198,3,34100,1,112,112,0,0,0,0,0,0
199,3,34101,1,100,100,0,0,0,0,0,0
200,3,34101,1,113,113,0,0,0,0,0,0
201,3,43020,0,364,364,0,0,0,0,0,0
202,3,41000,1,306,306,0,0,1,0,0,1
203,3,41000,1,305,305,0,0,1,0,0,1
204,3,41000,1,116,313,0,1,1,0,0,1
205,3,45000,1,108,307,0,0,1,0,1,1
206,3,40005,1,302,302,0,0,1,0,0,1
207,3,43000,0,312,312,0,0,0,0,0,0
208,3,43501,0,310,310,0,0,0,0,0,0
209,3,46820,1,757,757,0,0,0,0,0,0
210,3,46740,1,756,756,0,0,0,0,0,0
211,3,49410,1,190,190,0,0,0,0,0,0
212,3,46520,1,754,754,0,0,0,0,0,0
213,3,46530,1,761,761,0,0,0,0,0,0
214,3,46540,1,763,763,0,0,0,0,0,0
215,3,46630,1,750,750,0,0,0,0,0,0
216,3,46650,1,759,759,0,0,0,0,0,0
217,3,46550,1,762,762,0,0,0,0,0,0
218,3,46710,1,755,755,0,0,0,0,0,0
219,3,45510,1,760,760,0,0,0,0,0,0
220,3,46570,1,753,753,0,0,0,0,0,0
221,3,46690,1,758,758,0,0,0,0,0,0
222,3,46605,1,604,604,0,0,0,0,0,0
223,3,46700,1,605,605,0,0,0,0,0,0
224,3,46602,1,602,602,0,0,0,0,0,0
225,3,46503,1,607,607,0,0,0,0,0,0
226,3,46505,1,601,601,0,0,0,0,0,0
227,3,46701,1,606,606,0,0,0,0,0,0
228,3,46604,1,603,603,0,0,0,0,0,0
229,3,34101,1,109,109,0,0,0,0,0,0
230,3,34101,1,117,117,0,0,0,0,0,0
231,3,34000,1,103,103,0,0,0,0,0,0
232,3,34000,1,307,108,0,0,0,1,0,0
233,3,34101,1,107,107,0,0,0,0,0,0
234,3,37900,1,308,308,0,0,1,0,0,1
235,3,40008,1,300,300,0,0,1,0,0,1
236,3,43000,0,301,301,0,0,0,0,0,0
237,4,38001,1,125,125,0,0,0,0,0,0
238,4,30301,1,107,107,0,0,0,0,0,0
239,4,30001,1,101,101,0,0,0,0,0,0
240,4,38000,1,111,111,0,0,0,0,0,0
241,4,32200,1,110,110,0,0,0,0,0,0
242,4,32001,1,313,116,1,0,0,0,0,0
243,4,32000,1,113,113,0,0,0,0,0,0
244,4,34200,1,104,104,0,0,0,0,0,0
245,4,34001,1,117,117,0,0,0,0,0,0
246,4,34000,1,106,106,0,0,0,0,0,0
247,4,34200,1,109,109,0,0,0,0,0,0
248,4,43010,0,357,357,0,0,0,0,0,0
249,4,41000,1,306,306,0,0,1,0,0,1
250,4,41000,1,301,301,0,0,1,0,0,1
251,4,41000,1,310,310,0,0,1,0,0,1
252,4,45000,1,312,312,0,0,1,0,0,1
253,4,40008,1,305,305,0,0,1,0,0,1
254,4,43501,0,313,313,0,1,0,0,0,0
255,4,43001,0,308,308,0,0,0,0,0,0
256,4,46950,1,757,757,0,0,0,0,0,0
257,4,46680,1,756,756,0,0,0,0,0,0
258,4,49410,1,190,190,0,0,0,0,0,0
259,4,46640,1,762,762,0,0,0,0,0,0
260,4,46580,1,754,754,0,0,0,0,0,0
261,4,46520,1,759,759,0,0,0,0,0,0
262,4,46670,1,750,750,0,0,0,0,0,0
263,4,46570,1,760,760,0,0,0,0,0,0
264,4,46650,1,753,753,0,0,0,0,0,0
265,4,46710,1,763,763,0,0,0,0,0,0
266,4,46720,1,758,758,0,0,0,0,0,0
267,4,46550,1,755,755,0,0,0,0,0,0
268,4,46590,1,761,761,0,0,0,0,0,0
269,4,46060,0,646,646,0,0,0,0,0,0
270,4,46050,0,661,661,0,0,0,0,0,0
271,4,46000,0,619,619,0,0,0,0,0,0
272,4,46040,0,653,653,0,0,0,0,0,0
273,4,46020,0,642,642,0,0,0,0,0,0
274,4,46030,0,625,625,0,0,0,0,0,0
275,4,46010,0,657,657,0,0,0,0,0,0
276,4,46040,0,627,627,0,0,0,0,0,0
277,4,46050,0,617,617,0,0,0,0,0,0
278,4,46000,0,628,628,0,0,0,0,0,0
279,4,46000,0,638,638,0,0,0,0,0,0
280,4,46050,0,662,662,0,0,0,0,0,0
281,4,46040,0,632,632,0,0,0,0,0,0
282,4,46040,0,654,654,0,0,0,0,0,0
283,4,46040,0,647,647,0,0,0,0,0,0
284,4,46020,0,660,660,0,0,0,0,0,0
285,4,46000,0,618,618,0,0,0,0,0,0
286,4,46010,0,615,615,0,0,0,0,0,0
287,4,46040,0,648,648,0,0,0,0,0,0
288,4,46060,0,629,629,0,0,0,0,0,0
289,4,46060,0,651,651,0,0,0,0,0,0
290,4,46060,0,624,624,0,0,0,0,0,0
291,4,46010,0,623,623,0,0,0,0,0,0
292,4,46030,0,630,630,0,0,0,0,0,0
293,4,46040,0,633,633,0,0,0,0,0,0
294,4,46030,0,649,649,0,0,0,0,0,0
295,4,46050,0,631,631,0,0,0,0,0,0
296,4,46060,0,635,635,0,0,0,0,0,0
297,4,46010,0,626,626,0,0,0,0,0,0
298,4,46000,0,639,639,0,0,0,0,0,0
299,4,46030,0,621,621,0,0,0,0,0,0
300,4,46000,0,655,655,0,0,0,0,0,0
301,4,46030,0,643,643,0,0,0,0,0,0
302,4,46050,0,659,659,0,0,0,0,0,0
303,4,46050,0,645,645,0,0,0,0,0,0
304,4,46060,0,616,616,0,0,0,0,0,0
305,4,46060,0,620,620,0,0,0,0,0,0
306,4,46050,0,644,644,0,0,0,0,0,0
307,4,46000,0,656,656,0,0,0,0,0,0
308,4,46020,0,636,636,0,0,0,0,0,0
309,4,46010,0,658,658,0,0,0,0,0,0
310,4,46010,0,641,641,0,0,0,0,0,0
311,4,46030,0,622,622,0,0,0,0,0,0
312,4,46010,0,650,650,0,0,0,0,0,0
313,4,46020,0,634,634,0,0,0,0,0,0
314,4,46060,0,640,640,0,0,0,0,0,0
315,4,46020,0,652,652,0,0,0,0,0,0
316,4,46030,0,637,637,0,0,0,0,0,0
317,4,46703,1,606,606,0,0,0,0,0,0
318,4,46602,1,602,602,0,0,0,0,0,0
319,4,46604,1,605,605,0,0,0,0,0,0
320,4,46605,1,601,601,0,0,0,0,0,0
321,4,46503,1,607,607,0,0,0,0,0,0
322,4,46701,1,604,604,0,0,0,0,0,0
323,4,46502,1,603,603,0,0,0,0,0,0
324,4,30301,1,112,112,0,0,0,0,0,0
325,4,32001,1,103,103,0,0,0,0,0,0
326,4,34001,1,120,120,0,0,0,0,0,0
327,4,34001,1,100,100,0,0,0,0,0,0
328,4,34200,1,114,114,0,0,0,0,0,0
329,4,37900,1,314,314,0,0,1,0,0,1
330,4,45000,1,302,302,0,0,1,0,0,1
331,4,40006,1,300,300,0,0,1,0,0,1
332,5,38001,1,126,126,0,0,0,0,0,0
333,5,30301,1,100,100,0,0,0,0,0,0
334,5,30001,1,111,111,0,0,0,0,0,0
335,5,38000,1,109,109,0,0,0,0,0,0
336,5,32001,1,106,106,0,0,0,0,0,0
337,5,32000,1,112,112,0,0,0,0,0,0
338,5,32200,1,120,120,0,0,0,0,0,0
339,5,34100,1,104,104,0,0,0,0,0,0
340,5,34000,1,117,117,0,0,0,0,0,0
341,5,34200,1,114,114,0,0,0,0,0,0
342,5,34200,1,103,103,0,0,0,0,0,0
343,5,45010,1,358,358,0,0,1,0,0,1
344,5,41000,1,301,301,0,0,1,0,0,1
345,5,41000,1,108,307,0,0,1,0,1,1
346,5,41000,1,312,312,0,0,1,0,0,1
347,5,45000,1,306,306,0,0,1,0,0,1
348,5,40009,1,300,300,0,0,1,0,0,1
349,5,43001,0,310,310,0,0,0,0,0,0
350,5,43000,0,313,313,0,1,0,0,0,0
351,5,46910,1,757,757,0,0,0,0,0,0
352,5,46540,1,756,756,0,0,0,0,0,0
353,5,49430,1,190,190,0,0,0,0,0,0
354,5,46660,1,759,759,0,0,0,0,0,0
355,5,46580,1,755,755,0,0,0,0,0,0
356,5,46740,1,762,762,0,0,0,0,0,0
357,5,46680,1,754,754,0,0,0,0,0,0
358,5,46720,1,758,758,0,0,0,0,0,0
359,5,46510,1,753,753,0,0,0,0,0,0
360,5,46590,1,761,761,0,0,0,0,0,0
361,5,46570,1,763,763,0,0,0,0,0,0
362,5,46690,1,750,750,0,0,0,0,0,0
363,5,46620,1,760,760,0,0,0,0,0,0
364,5,46060,0,657,657,0,0,0,0,0,0
365,5,46000,0,650,650,0,0,0,0,0,0
366,5,46030,0,652,652,0,0,0,0,0,0
367,5,46020,0,627,627,0,0,0,0,0,0
368,5,46040,0,626,626,0,0,0,0,0,0
369,5,46050,0,635,635,0,0,0,0,0,0
370,5,46010,0,616,616,0,0,0,0,0,0
371,5,46000,0,618,618,0,0,0,0,0,0
372,5,46000,0,617,617,0,0,0,0,0,0
373,5,46050,0,658,658,0,0,0,0,0,0
374,5,46040,0,619,619,0,0,0,0,0,0
375,5,46030,0,659,659,0,0,0,0,0,0
376,5,46040,0,655,655,0,0,0,0,0,0
377,5,46060,0,624,624,0,0,0,0,0,0
378,5,46040,0,636,636,0,0,0,0,0,0
379,5,46060,0,662,662,0,0,0,0,0,0
380,5,46060,0,648,648,0,0,0,0,0,0
381,5,46060,0,631,631,0,0,0,0,0,0
382,5,46040,0,643,643,0,0,0,0,0,0
383,5,46010,0,656,656,0,0,0,0,0,0
384,5,46040,0,647,647,0,0,0,0,0,0
385,5,46010,0,622,622,0,0,0,0,0,0
386,5,46050,0,645,645,0,0,0,0,0,0
387,5,46040,0,644,644,0,0,0,0,0,0
388,5,46000,0,660,660,0,0,0,0,0,0
389,5,46000,0,661,661,0,0,0,0,0,0
390,5,46030,0,651,651,0,0,0,0,0,0
391,5,46010,0,625,625,0,0,0,0,0,0
392,5,46020,0,642,642,0,0,0,0,0,0
393,5,46020,0,629,629,0,0,0,0,0,0
394,5,46000,0,620,620,0,0,0,0,0,0
395,5,46050,0,639,639,0,0,0,0,0,0
396,5,46030,0,641,641,0,0,0,0,0,0
397,5,46050,0,621,621,0,0,0,0,0,0
398,5,46060,0,632,632,0,0,0,0,0,0
399,5,46010,0,653,653,0,0,0,0,0,0
400,5,46010,0,638,638,0,0,0,0,0,0
401,5,46020,0,634,634,0,0,0,0,0,0
402,5,46010,0,633,633,0,0,0,0,0,0
403,5,46060,0,628,628,0,0,0,0,0,0
404,5,46050,0,637,637,0,0,0,0,0,0
405,5,46050,0,615,615,0,0,0,0,0,0
406,5,46030,0,646,646,0,0,0,0,0,0
407,5,46060,0,623,623,0,0,0,0,0,0
408,5,46000,0,640,640,0,0,0,0,0,0
409,5,46020,0,654,654,0,0,0,0,0,0
410,5,46020,0,630,630,0,0,0,0,0,0
411,5,46020,0,649,649,0,0,0,0,0,0
412,5,46605,1,606,606,0,0,0,0,0,0
413,5,46606,1,604,604,0,0,0,0,0,0
414,5,46701,1,601,601,0,0,0,0,0,0
415,5,46505,1,607,607,0,0,0,0,0,0
416,5,46703,1,602,602,0,0,0,0,0,0
417,5,46604,1,605,605,0,0,0,0,0,0
418,5,46503,1,603,603,0,0,0,0,0,0
419,5,38001,1,107,107,0,0,0,0,0,0
420,5,32001,1,313,116,1,0,0,0,0,0
421,5,32000,1,113,113,0,0,0,0,0,0
422,5,34100,1,101,101,0,0,0,0,0,0
423,5,34200,1,110,110,0,0,0,0,0,0
424,5,40005,1,314,314,0,0,1,0,0,1
425,5,40002,1,305,305,0,0,1,0,0,1
426,5,43001,0,302,302,0,0,0,0,0,0
427,6,38100,1,124,124,0,0,0,0,0,0
428,6,30301,1,113,113,0,0,0,0,0,0
429,6,30001,1,100,100,0,0,0,0,0,0
430,6,38001,1,101,101,0,0,0,0,0,0
431,6,32102,1,117,117,0,0,0,0,0,0
432,6,32001,1,109,109,0,0,0,0,0,0
433,6,32201,1,103,103,0,0,0,0,0,0
434,6,34002,1,104,104,0,0,0,0,0,0
435,6,34100,1,111,111,0,0,0,0,0,0
436,6,34003,1,106,106,0,0,0,0,0,0
437,6,34100,1,107,107,0,0,0,0,0,0
438,6,45010,1,356,356,0,0,1,0,0,1
439,6,41000,1,300,300,0,0,1,0,0,1
440,6,41000,1,308,308,0,0,1,0,0,1
441,6,41000,1,116,313,0,1,1,0,0,1
442,6,45000,1,302,302,0,0,1,0,0,1
443,6,40003,1,314,314,0,0,1,0,0,1
444,6,43000,0,312,312,0,0,0,0,0,0
445,6,43400,0,301,301,0,0,0,0,0,0
446,6,46810,1,757,757,0,0,0,0,0,0
447,6,46530,1,756,756,0,0,0,0,0,0
448,6,49420,1,190,190,0,0,0,0,0,0
449,6,46740,1,753,753,0,0,0,0,0,0
450,6,46640,1,758,758,0,0,0,0,0,0
451,6,46660,1,761,761,0,0,0,0,0,0
452,6,46580,1,762,762,0,0,0,0,0,0
453,6,46570,1,755,755,0,0,0,0,0,0
454,6,46690,1,754,754,0,0,0,0,0,0
455,6,46720,1,759,759,0,0,0,0,0,0
456,6,46550,1,760,760,0,0,0,0,0,0
457,6,46620,1,763,763,0,0,0,0,0,0
458,6,46590,1,750,750,0,0,0,0,0,0
459,6,46801,1,607,607,0,0,0,0,0,0
460,6,46605,1,604,604,0,0,0,0,0,0
461,6,46503,1,605,605,0,0,0,0,0,0
462,6,46505,1,602,602,0,0,0,0,0,0
463,6,46703,1,601,601,0,0,0,0,0,0
464,6,46602,1,606,606,0,0,0,0,0,0
465,6,46704,1,603,603,0,0,0,0,0,0
466,6,30001,1,313,116,1,0,0,0,0,0
467,6,38100,1,114,114,0,0,0,0,0,0
468,6,32201,1,112,112,0,0,0,0,0,0
469,6,34002,1,110,110,0,0,0,0,0,0
470,6,34002,1,307,108,0,0,0,1,0,0
471,6,43400,0,310,310,0,0,0,0,0,0
472,6,43400,0,305,305,0,0,0,0,0,0
473,6,43000,0,307,307,0,0,0,0,1,0
474,7,38001,1,128,128,0,0,0,0,0,0
475,7,30000,1,107,107,0,0,0,0,0,0
476,7,30300,1,111,111,0,0,0,0,0,0
477,7,38000,1,117,117,0,0,0,0,0,0
478,7,32000,1,112,112,0,0,0,0,0,0
479,7,32200,1,104,104,0,0,0,0,0,0
480,7,32001,1,101,101,0,0,0,0,0,0
481,7,34300,1,100,100,0,0,0,0,0,0
482,7,34100,1,109,109,0,0,0,0,0,0
483,7,34003,1,103,103,0,0,0,0,0,0
484,7,34003,1,113,113,0,0,0,0,0,0
485,7,43411,0,362,362,0,0,0,0,0,0
486,7,41000,1,308,308,0,0,1,0,0,1
487,7,41000,1,300,300,0,0,1,0,0,1
488,7,41000,1,116,313,0,1,1,0,0,1
489,7,45000,1,310,310,0,0,1,0,0,1
490,7,40004,1,302,302,0,0,1,0,0,1
491,7,43501,0,307,307,0,0,0,0,1,0
492,7,43000,0,314,314,0,0,0,0,0,0
493,7,46880,1,757,757,0,0,0,0,0,0
494,7,46540,1,756,756,0,0,0,0,0,0
495,7,49430,1,190,190,0,0,0,0,0,0
496,7,46740,1,760,760,0,0,0,0,0,0
497,7,46640,1,759,759,0,0,0,0,0,0
498,7,46680,1,754,754,0,0,0,0,0,0
499,7,46580,1,763,763,0,0,0,0,0,0
500,7,45510,1,761,761,0,0,0,0,0,0
501,7,46570,1,750,750,0,0,0,0,0,0
502,7,46710,1,762,762,0,0,0,0,0,0
503,7,46720,1,753,753,0,0,0,0,0,0
504,7,46550,1,758,758,0,0,0,0,0,0
505,7,46770,1,755,755,0,0,0,0,0,0
506,7,46606,1,602,602,0,0,0,0,0,0
507,7,46605,1,605,605,0,0,0,0,0,0
508,7,46502,1,607,607,0,0,0,0,0,0
509,7,46505,1,606,606,0,0,0,0,0,0
510,7,46604,1,604,604,0,0,0,0,0,0
511,7,46704,1,601,601,0,0,0,0,0,0
512,7,46701,1,603,603,0,0,0,0,0,0
513,7,38001,1,313,116,1,0,0,0,0,0
514,7,32200,1,110,110,0,0,0,0,0,0
515,7,32200,1,106,106,0,0,0,0,0,0
516,7,34300,1,307,108,0,0,0,1,0,0
517,7,34100,1,120,120,0,0,0,0,0,0
518,7,37900,1,305,305,0,0,1,0,0,1
519,7,45000,1,306,306,0,0,1,0,0,1
520,7,40001,1,301,301,0,0,1,0,0,1
521,8,30001,1,121,121,0,0,0,0,0,0
522,8,30000,1,313,116,1,0,0,0,0,0
523,8,38101,1,103,103,0,0,0,0,0,0
524,8,38001,1,100,100,0,0,0,0,0,0
525,8,32001,1,120,120,0,0,0,0,0,0
526,8,32101,1,112,112,0,0,0,0,0,0
527,8,32200,1,307,108,0,0,0,1,0,0
528,8,34200,1,107,107,0,0,0,0,0,0
529,8,34103,1,110,110,0,0,0,0,0,0
530,8,34001,1,114,114,0,0,0,0,0,0
531,8,34200,1,113,113,0,0,0,0,0,0
532,8,41010,1,350,350,0,0,1,0,0,1
533,8,41000,1,108,307,0,0,1,0,1,1
534,8,41000,1,301,301,0,0,1,0,0,1
535,8,41000,1,314,314,0,0,1,0,0,1
536,8,45000,1,116,313,0,1,1,0,0,1
537,8,40007,1,302,302,0,0,1,0,0,1
538,8,43501,0,310,310,0,0,0,0,0,0
539,8,43401,0,308,308,0,0,0,0,0,0
540,8,46880,1,757,757,0,0,0,0,0,0
541,8,46660,1,756,756,0,0,0,0,0,0
542,8,49430,1,190,190,0,0,0,0,0,0
543,8,46520,1,760,760,0,0,0,0,0,0
544,8,46580,1,755,755,0,0,0,0,0,0
545,8,46530,1,763,763,0,0,0,0,0,0
546,8,46670,1,758,758,0,0,0,0,0,0
547,8,46770,1,750,750,0,0,0,0,0,0
548,8,46570,1,754,754,0,0,0,0,0,0
549,8,46690,1,759,759,0,0,0,0,0,0
550,8,46710,1,762,762,0,0,0,0,0,0
551,8,46550,1,761,761,0,0,0,0,0,0
552,8,46510,1,753,753,0,0,0,0,0,0
553,8,46060,0,658,658,0,0,0,0,0,0
554,8,46030,0,639,639,0,0,0,0,0,0
555,8,46000,0,618,618,0,0,0,0,0,0
556,8,46010,0,626,626,0,0,0,0,0,0
557,8,46020,0,622,622,0,0,0,0,0,0
